Timestamp,S_EXPOSE,APERTURE,EXPOSURE
1889.849952435312,31.345,0.2,10.0
1890.745858066971,18.258,0.2,18.0
1890.746052130898,20.0,0.2,19.0
1890.9047888127855,35.172,0.2,13.0
1890.964904870624,10.259,0.2,16.0
1891.0360502283106,11.134,0.2,11.0
1891.9428405631659,16.773,0.2,11.0
1891.9484550989346,15.809,0.2,20.0
1892.0004496812387,22.573,0.2,11.0
1892.6811797966,22.573,0.2,12.0
1892.7166552823314,11.472,0.2,12.0
1892.7411316029145,12.439,0.2,10.0
1892.746529675167,11.046,0.2,11.0
1893.5709646118721,25.347,0.2,11.0
1893.5762404870625,24.0,0.2,12.0
1893.6037480974126,14.392,0.2,10.0
1893.6911092085236,12.043,0.2,15.0
1893.7212404870625,11.464,0.2,14.0
1894.3275285388129,11.414,0.6,12.0
1894.450190258752,14.0,0.2,15.0
1894.4639193302892,19.0,0.2,14.0
1894.608947869102,11.678,0.2,12.0
1894.630985540335,26.807,0.6,19.0
1894.8935502283105,14.212,0.2,17.0
1895.335447108067,14.0,0.2,14.0
1895.5793398021308,11.279,0.2,14.0
1895.5873668188738,50.0,0.2,23.0
1895.6639573820396,10.0,0.2,21.0
1895.664006849315,11.987,0.2,10.0
1895.6693702435311,18.148,0.6,10.0
1895.6693968797565,13.759,0.2,10.0
1895.6724714611871,15.0,0.2,10.0
1895.6997526636226,11.769,0.6,24.0
1895.7513222983257,10.0,0.2,10.0
1895.8472336377474,13.453,0.2,14.0
1896.1519675925927,11.343,0.2,15.0
1896.2309293412266,23.0,0.2,26.0
1896.5309900576806,13.16,0.2,19.0
1896.5747988767455,17.933,0.2,10.0
1896.7223398603521,30.502,0.2,11.0
1897.3001426940639,14.589,0.2,13.0
1897.6286054033485,14.403,0.2,14.0
1897.7189345509894,8.134,0.2,10.0
1898.0032286910198,13.443,0.2,11.0
1898.0360388127854,31.13,0.2,14.0
1898.5165410958905,29.558,0.2,10.0
1899.3110977929985,18.369,0.2,23.0
1899.3247222222221,13.697,0.038,58.0
1899.3931659056316,14.986,0.2,13.0
1899.4229356925418,9.901,0.2,10.0
1899.4230517503804,10.6,0.2,11.0
1899.4233618721462,12.762,0.2,12.0
1899.4364155251142,19.535,0.2,13.0
1899.4364402587519,15.726,0.2,10.0
1899.4364687975647,17.88,0.2,15.0
1899.43649543379,16.619,0.2,10.0
1899.4365163622526,12.926,0.2,10.0
1899.436704718417,17.041,0.2,14.0
1899.436891171994,9.418,0.2,15.0
1899.4370795281584,21.528,0.2,11.0
1899.4669882039573,11.209,0.2,14.0
1899.4863698630138,24.725,0.2,30.0
1899.5245871385084,10.77,0.2,18.0
1899.527191780822,10.37,0.2,12.0
1899.6993264840182,7.686,0.2,11.0
1900.1907553272451,31.618,0.2,18.0
1900.2563603500762,7.593,0.2,18.0
1900.2891666666667,13.78,0.2,10.0
1900.3575095129377,15.011,0.2,15.0
1900.7379052511415,10.6,0.2,12.0
1900.7568854642313,7.568,0.6,10.0
1900.8007096651445,8.234,0.2,10.0
1900.8390848554034,18.406,0.2,10.0
1900.8611681887367,15.892,0.2,16.0
1901.138662480974,10.364,0.038,66.0
1901.6257248858446,13.075,0.2,61.0
1901.688892694064,9.815,0.038,236.0
1901.789941019787,11.23,0.038,101.0
1901.7977168949772,10.311,0.2,10.0
1901.7979052511416,7.873,0.2,10.0
1901.7980194063928,8.227,0.2,10.0
1901.8443169710806,10.992,0.038,97.0
1901.860865677321,8.65,0.038,61.0
1901.8883885083715,18.406,0.038,81.0
1901.9100323439877,8.831,0.038,63.0
1901.9183656773212,11.435,0.038,59.0
1902.469659436834,14.472,0.2,8.0
1902.489090563166,25.743,0.2,21.0
1902.535190258752,7.05,0.6,10.0
1902.603508371385,8.754,0.2,18.0
1902.6178348554033,11.168,0.2,14.0
1902.617863394216,10.448,0.2,10.0
1902.6447926179603,9.531,0.2,10.0
1902.6554737442923,10.576,0.2,20.0
1902.6558085996955,10.682,0.2,46.0
1902.656040715373,13.266,0.2,10.0
1902.7737842465754,9.736,0.038,76.0
1902.7760578386606,13.151,0.038,86.0
1902.8280156012177,8.733,0.038,104.0
1902.8526598173517,11.407,0.038,69.0
1902.9812785388128,10.576,0.038,72.0
1903.092111872146,10.551,0.2,15.0
1903.0922222222223,34.569,0.2,18.0
1903.1521194824961,16.866,0.2,17.0
1903.152334474886,13.443,0.2,14.0
1903.1524315068493,50.0,0.2,13.0
1903.1796404109589,12.304,0.2,27.0
1903.1798078386605,17.62,0.2,15.0
1903.2315886605784,8.989,0.2,17.0
1903.2318055555556,25.454,0.2,17.0
1903.2807134703196,29.655,0.2,12.0
1903.2807648401827,20.53,0.2,10.0
1903.305605022831,12.673,0.2,27.0
1903.3245909436835,11.026,0.2,32.0
1903.3300818112634,10.527,0.2,31.0
1903.3547279299848,21.605,0.2,20.0
1903.3931887366819,10.65,0.2,13.0
1903.3932534246576,12.638,0.2,15.0
1903.4175913242009,10.887,0.2,38.0
1903.4178748097413,15.406,0.2,34.0
1903.4778652968037,8.814,0.038,78.0
1903.5049315068493,15.565,0.2,21.0
1903.5054452054794,12.131,0.2,10.0
1903.568291476408,9.18,0.2,23.0
1903.5684189497717,11.066,0.2,34.0
1903.5685159817351,8.905,0.2,13.0
1903.5686396499239,18.276,0.2,10.0
1903.6177758751903,15.161,0.2,10.0
1903.617863394216,20.6,0.2,18.0
1903.617954718417,20.346,0.2,12.0
1903.6180041856926,50.0,0.2,15.0
1903.6308561643837,10.353,0.2,10.0
1903.6309703196348,9.96,0.2,24.0
1903.6311700913243,12.362,0.2,19.0
1903.6315201674277,11.357,0.2,17.0
1903.6557382039573,12.155,0.2,14.0
1903.6559741248097,10.394,0.2,10.0
1903.656103500761,12.043,0.2,17.0
1903.705447108067,9.311,0.2,19.0
1903.7055156012177,10.088,0.2,11.0
1903.7055821917809,9.184,0.2,10.0
1903.7464916286149,14.101,0.2,40.0
1903.7869863013698,12.673,0.2,39.0
1903.8226807458143,11.086,0.038,67.0
1903.8251978691019,10.848,0.038,88.0
1903.8309075342465,11.823,0.2,15.0
1903.8310159817352,14.851,0.2,13.0
1903.9019273211568,12.889,0.038,74.0
1903.9538812785388,9.143,0.2,10.0
1903.9540296803652,9.674,0.2,16.0
1903.9540810502283,10.576,0.2,20.0
1903.9921974885845,26.494,0.2,16.0
1904.3482031724348,9.393,0.2,10.0
1904.6676096690953,10.004,0.038,78.0
1904.8558970856102,10.247,0.038,330.0
1905.691198630137,12.612,0.2,10.0
1905.7650304414003,10.6,0.2,10.0
1906.6254337899543,6.871,0.6,12.0
1906.6774619482496,11.279,0.038,63.0
1906.699343607306,7.709,0.6,120.0
1906.8498630136987,10.644,0.038,74.0
1908.765892531876,14.719,0.2,12.0
1909.0032077625572,23.09,0.038,76.0
1909.0784512937596,13.423,0.038,60.0
1909.1551065449012,10.071,0.038,60.0
1909.412155631659,14.392,0.038,60.0
1909.9156183409436,11.924,0.038,72.0
1910.5183713850838,14.9,0.4,60.0
1910.5841248097413,12.295,0.4,60.0
1910.8663850837138,11.979,0.038,63.0
1910.9757800608827,10.218,0.038,65.0
1911.6204737442922,12.585,0.038,62.0
1911.6334398782344,11.189,0.4,30.0
1911.633848934551,7.897,0.038,60.0
1911.7048725266363,8.344,0.038,56.0
1911.863500761035,9.078,0.038,80.0
1911.8689916286148,8.175,0.038,87.0
1911.91825152207,16.993,0.038,71.0
1911.9346575342465,14.484,0.038,60.0
1912.7930764268367,8.54,0.038,62.0
1912.7984479356405,10.809,0.038,61.0
1912.924074074074,8.524,0.038,73.0
1913.2618740487062,14.301,0.038,53.0
1913.4972241248097,9.17,0.038,60.0
1913.5793226788433,8.386,0.038,70.0
1913.6147888127855,9.02,0.038,69.0
1913.6504452054794,9.083,0.4,10.0
1913.6638622526636,7.752,0.4,10.0
1913.6940677321156,9.156,0.038,60.0
1913.7295814307458,8.552,0.4,10.0
1913.7323097412482,8.378,0.4,10.0
1913.7432286910198,10.021,0.038,67.0
1913.7950722983257,12.542,0.4,10.0
1913.8061681887366,8.306,0.4,10.0
1913.8089802130899,8.984,0.038,80.0
1913.8225266362253,9.245,0.4,10.0
1913.8416038812786,8.642,0.4,10.0
1913.9018264840183,9.088,0.038,84.0
1913.9648078386606,15.686,0.038,60.0
1914.41224695586,9.71,0.038,62.0
1914.4616856925418,10.539,0.4,10.0
1914.4754090563165,12.295,0.4,10.0
1914.5053633942161,8.971,0.4,10.0
1914.5573953576863,10.835,0.038,60.0
1914.6475133181127,10.436,0.038,61.0
1914.6884627092845,10.195,0.038,61.0
1914.691230974125,9.89,0.038,59.0
1914.6993740487062,9.502,0.4,10.0
1914.7102758751903,10.874,0.4,10.0
1914.7185540334856,9.226,0.4,10.0
1914.7732648401827,10.099,0.038,65.0
1914.7813356164384,11.807,0.4,10.0
1914.781356544901,10.442,0.4,10.0
1914.8799695585997,9.217,0.038,86.0
1915.3548363774735,9.203,0.038,60.0
1915.4175209284626,12.807,0.4,42.0
1915.5137442922373,11.093,0.038,62.0
1915.5218226788431,8.253,0.4,10.0
1915.521847412481,8.283,0.4,10.0
1915.5299752663623,10.364,0.4,10.0
1915.5381506849315,9.487,0.4,10.0
1915.5381735159817,9.161,0.4,10.0
1915.7159341704719,11.731,0.038,60.0
1915.8499372146118,10.23,0.038,60.0
1915.9045357686452,11.321,0.038,61.0
1916.574339708561,11.175,0.4,79.0
1916.6730362021858,10.276,0.038,60.0
1916.7164162112933,9.311,0.4,69.0
1916.8720286885246,10.472,0.038,65.0
1917.2453405631659,10.65,0.038,58.0
1917.8526636225267,10.992,0.038,61.0
1917.956601978691,11.019,0.038,60.0
1918.8607305936073,8.831,0.038,65.0
1919.3822564687976,14.565,0.038,70.0
1923.237187975647,17.235,0.076,66.0
1923.4452473363774,9.472,0.2,7.0
1923.5923515981735,9.653,0.4,30.0
1923.7650171232876,13.228,0.2,21.0
1923.765095129376,9.982,0.2,20.0
1923.7652435312025,10.127,0.2,22.0
1923.7654014459665,10.496,0.2,20.0
1923.7655289193303,10.848,0.2,20.0
